04.02.2023 | 23:47:32 | ERRO | InterCom         | The Communicator has not yet been set.
04.02.2023 | 23:47:37 | ERRO | InterCom         | The Communicator has not yet been set.
04.02.2023 | 23:50:53 | ERRO | InterCom         | The Communicator has not yet been set.
04.02.2023 | 23:52:12 | ERRO | InterCom         | The Communicator has not yet been set.
04.02.2023 | 23:52:22 | ERRO | InterCom         | The Communicator has not yet been set.
04.02.2023 | 23:52:38 | ERRO | InterCom         | The Communicator has not yet been set.
04.02.2023 | 23:57:02 | ERRO | InterCom         | The Communicator has not yet been set.
04.02.2023 | 23:57:28 | ERRO | InterCom         | The Communicator has not yet been set.
04.02.2023 | 23:58:00 | INFO | Communicator     | Starting...
04.02.2023 | 23:58:33 | INFO | Communicator     | Starting...
05.02.2023 | 00:02:49 | INFO | Communicator     | Starting...
05.02.2023 | 00:02:49 | INFO | Communicator     | Started in 0.004 secs!
05.02.2023 | 00:02:49 | INFO | Communicator     | Shutting down...
05.02.2023 | 00:04:40 | INFO | Communicator     | Starting...
05.02.2023 | 00:04:40 | INFO | Communicator     | Started in 0.003 secs!
05.02.2023 | 00:04:40 | INFO | Communicator     | Shutting down...
05.02.2023 | 00:04:40 | INFO | Communicator     | Stopped in 0.763 secs!
05.02.2023 | 00:04:44 | INFO | Communicator     | Starting...
05.02.2023 | 00:04:44 | INFO | Communicator     | Started in 0.002 secs!
05.02.2023 | 00:04:44 | INFO | Communicator     | Shutting down...
05.02.2023 | 00:04:44 | INFO | Communicator     | Stopped in 0.212 secs!
05.02.2023 | 00:04:47 | INFO | Communicator     | Starting...
05.02.2023 | 00:04:47 | INFO | Communicator     | Started in 0.003 secs!
05.02.2023 | 00:04:47 | INFO | Communicator     | Restarting...
05.02.2023 | 00:04:47 | INFO | Communicator     | Shutting down...
05.02.2023 | 00:04:48 | INFO | Communicator     | Stopped in 0.105 secs!
05.02.2023 | 00:04:48 | INFO | Communicator     | Starting...
05.02.2023 | 00:04:48 | INFO | Communicator     | Started in 0.001 secs!
05.02.2023 | 00:04:48 | INFO | Communicator     | Restarted in 0.107 secs!
05.02.2023 | 00:04:48 | INFO | Communicator     | Shutting down...
05.02.2023 | 00:04:48 | INFO | Communicator     | Stopped in 0.325 secs!
05.02.2023 | 00:04:52 | INFO | Communicator     | Starting...
05.02.2023 | 00:04:52 | INFO | Communicator     | Started in 0.003 secs!
05.02.2023 | 00:04:52 | INFO | Communicator     | A new client has connected using the IP address `127.0.0.1:58953`.
05.02.2023 | 00:04:53 | INFO | Communicator     | The client 127.0.0.1:58953 has been registered as r0.
05.02.2023 | 00:04:53 | INFO | Communicator     | Shutting down...
05.02.2023 | 00:04:54 | INFO | Communicator     | Stopped in 0.436 secs!
05.02.2023 | 00:04:56 | INFO | Communicator     | Starting...
05.02.2023 | 00:04:56 | INFO | Communicator     | Started in 0.002 secs!
05.02.2023 | 00:04:56 | INFO | Communicator     | A new client has connected using the IP address `127.0.0.1:58957`.
05.02.2023 | 00:04:57 | INFO | Communicator     | The client 127.0.0.1:58957 has been registered as r0.
05.02.2023 | 00:04:58 | INFO | Communicator     | Shutting down...
05.02.2023 | 00:04:59 | INFO | Communicator     | Stopped in 1.088 secs!
05.02.2023 | 00:05:18 | INFO | Communicator     | Starting...
05.02.2023 | 00:05:18 | INFO | Communicator     | Started in 0.003 secs!
05.02.2023 | 00:05:19 | INFO | Communicator     | A new client has connected using the IP address `127.0.0.1:58964`.
05.02.2023 | 00:05:21 | INFO | Communicator     | The client 127.0.0.1:58964 has been registered as r0.
05.02.2023 | 00:05:22 | INFO | Communicator     | Shutting down...
05.02.2023 | 00:05:23 | INFO | Communicator     | Stopped in 0.654 secs!
05.02.2023 | 00:05:23 | INFO | Communicator     | Starting...
05.02.2023 | 00:05:23 | INFO | Communicator     | Started in 0.001 secs!
05.02.2023 | 00:05:23 | INFO | Communicator     | A new client has connected using the IP address `127.0.0.1:58965`.
05.02.2023 | 00:05:24 | INFO | Communicator     | The client 127.0.0.1:58965 has been registered as r0.
05.02.2023 | 00:05:24 | INFO | Communicator     | Shutting down...
05.02.2023 | 00:05:24 | INFO | Communicator     | Stopped in 0.219 secs!
05.02.2023 | 00:05:24 | INFO | Communicator     | Starting...
05.02.2023 | 00:05:24 | INFO | Communicator     | Started in 0.001 secs!
05.02.2023 | 00:05:24 | INFO | Communicator     | Restarting...
05.02.2023 | 00:05:24 | INFO | Communicator     | Shutting down...
05.02.2023 | 00:05:25 | INFO | Communicator     | Stopped in 0.102 secs!
05.02.2023 | 00:05:25 | INFO | Communicator     | Starting...
05.02.2023 | 00:05:25 | INFO | Communicator     | Started in 0.000 secs!
05.02.2023 | 00:05:25 | INFO | Communicator     | Restarted in 0.104 secs!
05.02.2023 | 00:05:25 | INFO | Communicator     | Shutting down...
05.02.2023 | 00:05:25 | INFO | Communicator     | Stopped in 0.759 secs!
05.02.2023 | 00:05:25 | INFO | Communicator     | Starting...
05.02.2023 | 00:05:25 | INFO | Communicator     | Started in 0.001 secs!
05.02.2023 | 00:05:25 | INFO | Communicator     | Shutting down...
05.02.2023 | 00:05:25 | INFO | Communicator     | Stopped in 0.215 secs!
05.02.2023 | 00:05:25 | INFO | Communicator     | Starting...
05.02.2023 | 00:05:25 | INFO | Communicator     | Started in 0.001 secs!
05.02.2023 | 00:05:25 | INFO | Communicator     | Shutting down...
05.02.2023 | 00:05:26 | INFO | Communicator     | Stopped in 0.990 secs!
